Households,15 to 24 years,25 to 44 years,45 to 64 years,65 years and over,state,year
65429,38555,74654,79713,47401,Iowa,2021
64521,35320,71976,78885,49216,Kansas,2021
55454,32699,64245,65022,41677,Kentucky,2021
53571,29032,60800,62999,40352,Louisiana,2021
63182,41563,74827,74619,45579,Maine,2021
91431,45559,94783,110664,65655,Maryland,2021
89026,47171,101601,109641,56483,Massachusetts,2021
63202,35152,70251,76804,48046,Michigan,2021
77706,42756,88800,94880,52710,Minnesota,2021
49111,27906,53708,57121,38478,Mississippi,2021
61043,33312,69318,72907,45364,Missouri,2021
60560,32413,69192,71064,47015,Montana,2021
66644,37748,75033,81188,48639,Nebraska,2021
65686,42553,68980,76889,51989,Nevada,2021
83449,52926,92836,101817,56845,New Hampshire,2021
89703,42764,97523,108974,60697,New Jersey,2021
54020,30939,58701,62148,45450,New Mexico,2021
75157,39366,85570,88827,51837,New York,2021
60516,35016,66559,71754,45261,North Carolina,2021
68131,36708,77355,85510,48103,North Dakota,2021
61938,34966,69071,74999,46112,Ohio,2021
56956,33672,63274,66678,46258,Oklahoma,2021
70084,37990,79576,82833,52895,Oregon,2021
67587,35924,77704,82539,47153,Pennsylvania,2021
74489,36658,78332,91477,50765,Rhode Island,2021
58234,32671,64281,67842,46289,South Carolina,2021
63920,36890,71901,76949,47146,South Dakota,2021
58516,36203,64728,68865,44459,Tennessee,2021
67321,35115,72082,80762,49599,Texas,2021
79133,43564,83643,99306,59518,Utah,2021
67674,36246,78988,80368,51650,Vermont,2021
80615,40953,86973,99057,57591,Virginia,2021
82400,45745,92003,100122,57423,Washington,2021
50884,27814,59761,59223,40256,West Virginia,2021
67080,37323,75932,81802,48793,Wisconsin,2021
68002,32895,77657,81693,50854,Wyoming,2021
21967,7826,24445,26052,18687,Puerto Rico,2021
59609,29488,65802,72197,46134,Alabama,2022
86370,52562,93857,101971,66727,Alaska,2022
72581,45065,80218,87845,56865,Arizona,2022
56335,35320,63883,66270,43402,Arkansas,2022
91905,48986,99703,108046,66282,California,2022
87598,47039,96255,106020,63361,Colorado,2022
90213,46863,95178,111583,65666,Connecticut,2022
79325,39968,83882,93881,65131,Delaware,2022
101722,50160,118096,109293,67122,District of Columbia,2022
67917,41020,73861,80393,53384,Florida,2022
71355,38956,75852,86087,51911,Georgia,2022
94814,55565,96571,110596,81656,Hawaii,2022
70214,45275,78182,83706,53064,Idaho,2022
78433,38244,87450,95019,55569,Illinois,2022
67173,36444,74628,82494,49429,Indiana,2022
70571,42113,80820,87016,51672,Iowa,2022
69747,38324,78703,85651,53309,Kansas,2022
60183,36225,69951,70626,45428,Kentucky,2022
57852,32411,67420,67911,43997,Louisiana,2022
68251,47367,81383,81373,49828,Maine,2022
98461,49616,102281,119705,70792,Maryland,2022
96505,52434,110567,119054,61624,Massachusetts,2022
68505,38933,76819,83523,51863,Michigan,2022
84313,47277,96857,103889,57144,Minnesota,2022
52985,31259,58241,62043,41473,Mississippi,2022
65920,36299,75199,79430,48780,Missouri,2022
66341,38257,77250,78432,50694,Montana,2022
71722,40505,81256,88209,52616,Nebraska,2022
71646,46679,75908,84266,56049,Nevada,2022
90845,58664,102765,111608,60844,New Hampshire,2022
97126,47184,105714,118213,66128,New Jersey,2022
58722,32057,64768,68436,49737,New Mexico,2022
81386,43744,93691,96457,55859,New York,2022
66186,39218,73212,78923,49257,North Carolina,2022
73959,41000,84322,93205,53238,North Dakota,2022
66990,38524,75413,81602,49800,Ohio,2022
61364,36356,68367,72161,50204,Oklahoma,2022
76632,43040,87664,91038,57191,Oregon,2022
73170,40108,84653,89726,51201,Pennsylvania,2022
81370,43688,86770,100530,56242,Rhode Island,2022
63623,36594,70352,74496,50258,South Carolina,2022
69457,39841,78360,84713,51181,South Dakota,2022
64035,39907,71043,75932,48198,Tennessee,2022
73035,38830,78570,88127,53510,Texas,2022
86833,48652,91937,109504,64532,Utah,2022
74014,40031,87231,88017,55435,Vermont,2022
87249,44781,94687,108094,61928,Virginia,2022
90325,51503,101586,109939,62564,Washington,2022
55217,30438,65724,65200,43429,West Virginia,2022
72458,41408,82872,88582,52831,Wisconsin,2022
72495,36039,84104,87483,54944,Wyoming,2022
24002,9603,26863,28626,20099,Puerto Rico,2022
